,INSTNM,LOCALE,LATITUDE,LONGITUDE,ADM_RATE,UGDS,ENDOWEND
211,University of California-Berkeley,12.0,37.871918,-122.260463,0.1748,30796.0,2173287000.0
212,University of California-Davis,23.0,38.539667,-121.749567,0.4635,31142.0,484130000.0
213,University of California-Irvine,11.0,33.648434,-117.841248,0.2992,29627.0,532004000.0
214,University of California-Los Angeles,11.0,34.07178,-118.442179,0.1433,31636.0,2359984000.0
215,University of California-Riverside,11.0,33.97246,-117.32741,0.6578,22609.0,193196000.0
216,University of California-San Diego,11.0,32.877749,-117.235866,0.3661,31827.0,895245000.0
218,University of California-Santa Barbara,22.0,34.416297,-119.846426,0.367,23166.0,278285000.0
219,University of California-Santa Cruz,13.0,36.995584,-122.058801,0.6473,17207.0,115645000.0
222,California Christian College,11.0,36.749366,-119.711123,1.0,13.0,114664.0
225,California Institute of the Arts,21.0,34.39327,-118.566837,0.2742,762.0,179402319.0
226,California State University Maritime Academy,12.0,38.069061,-122.231551,0.8249,907.0,10783408.0
242,Chapman University,12.0,33.79302,-117.852518,0.5826,7231.0,412064000.0
243,Charles R Drew University of Medicine and Science,21.0,33.925658,-118.242791,0.25,239.0,91406000.0
244,Concordia University-Irvine,11.0,33.653665,-117.812305,0.7818,1703.0,35171761.0
245,San Diego Christian College,21.0,32.842404,-116.978112,0.4967,449.0,719210.0
251,Claremont McKenna College,21.0,34.102154,-117.711188,0.1334,1262.0,952269000.0
273,Dominican University of California,13.0,37.981279,-122.512051,0.8574,1374.0,30877436.0
291,Fresno Pacific University,11.0,36.726831,-119.735199,0.6694,2711.0,17569795.0
304,Harvey Mudd College,21.0,34.106515,-117.709837,0.1796,827.0,319714177.0
306,Holy Names University,11.0,37.802276,-122.187804,0.8912,703.0,54619996.0
308,California State Polytechnic University-Humboldt,33.0,40.877481,-124.078293,0.8514,5991.0,32587726.0
318,Life Pacific University,21.0,34.098705,-117.829388,0.931,487.0,4030013.0
319,University of La Verne,21.0,34.100855,-117.773262,0.7625,4118.0,109253175.0
320,Laguna College of Art and Design,41.0,33.561448,-117.772564,0.8292,732.0,3052027.0
325,Latin American Bible Institute,21.0,34.030992,-117.989601,0.7273,60.0,48197.0
329,La Sierra University,11.0,33.910704,-117.500054,0.5697,1462.0,20797171.0
338,The Master's University and Seminary,21.0,34.381755,-118.518193,0.5988,1448.0,31837881.0
343,Loyola Marymount University,11.0,33.97085,-118.415744,0.5014,6564.0,477020000.0
352,Menlo College,21.0,37.453475,-122.190797,0.6451,825.0,21919477.0
355,Mills College,11.0,37.781425,-122.182294,0.9114,603.0,187318992.0
365,Mount Saint Mary's University,11.0,34.085315,-118.482879,0.8933,2026.0,138585313.0
370,National University,11.0,32.909894,-117.243026,0.8936,7864.0,966159194.0
380,Occidental College,11.0,34.127124,-118.210908,0.409,1835.0,439089409.0
383,Otis College of Art and Design,11.0,33.956607,-118.416615,0.8032,1030.0,79785040.0
385,Hope International University,21.0,33.87616,-117.88573,0.3829,657.0,7511781.0
388,Pacific Oaks College,12.0,34.153382,-118.151323,0.2667,496.0,9869139.0
391,Pacific Union College,41.0,38.570585,-122.440308,0.5917,940.0,30090821.0
392,University of the Pacific,11.0,37.981424,-121.312301,0.7075,3493.0,455800448.0
396,Pepperdine University,21.0,34.037786,-118.707077,0.4185,3457.0,908307000.0
